,paper_ae_auc,our_ae_auc,difference
tone,0.7544,0.5728320802005012,-0.1815679197994987
chirp,0.7816,0.5712565234845443,-0.2103434765154557
fawgn,0.7615,0.6000600060006,-0.1614399939993999
