ebn0_db,ber_no_mitigation,ber_mse_only,ber_decision_aware,ber_no_interference
0,0.37025440313111546,0.41670254403131124,0.2194422700587084,0.15832681017612524
1,0.3537279843444228,0.4233463796477496,0.19069471624266143,0.1309295499021526
2,0.3706360078277886,0.43867906066536216,0.16356164383561642,0.10472602739726028
3,0.3641585127201566,0.4445009784735812,0.13639921722113502,0.0776027397260274
4,0.3593639921722114,0.4484833659491194,0.1096183953033268,0.05567514677103718
5,0.36952054794520556,0.44380626223091985,0.08821917808219176,0.037309197651663406
6,0.3703816046966731,0.4457632093933465,0.07067514677103717,0.02212328767123288
