ebn0_db,ber_with_interference,ber_mse_only,ber_decision_aware,ber_no_interference,ber_theoretical
0,0.3231996086105675,0.4421917808219178,0.2246477495107632,0.1576908023483366,0.07864960352514258
1,0.3161741682974559,0.4664090019569472,0.198825831702544,0.13268101761252446,0.05628195197654147
2,0.3174168297455968,0.48285714285714293,0.17563600782778863,0.10364970645792564,0.03750612835892598
3,0.33681996086105687,0.4982974559686889,0.15445205479452054,0.07909980430528375,0.02287840756108532
4,0.3376614481409002,0.5021917808219177,0.13070450097847355,0.057358121330724064,0.01250081804073755
5,0.3193052837573385,0.5001663405088063,0.10677103718199607,0.03776908023483366,0.005953867147778662
6,0.3041487279843444,0.5028375733855186,0.09223091976516634,0.02262230919765166,0.002388290780932807
