ebn0_db,ber_with_interference,ber_mitigated,ber_no_interference,ber_theoretical
0,0.36864970645792566,0.4136399217221136,0.15897260273972605,0.07864960352514258
1,0.3596673189823876,0.42606653620352264,0.1313013698630137,0.05628195197654147
2,0.36235812133072415,0.43987279843444227,0.10442270058708417,0.03750612835892598
3,0.3639041095890412,0.4448434442270059,0.07756360078277887,0.02287840756108532
4,0.36944227005870844,0.446682974559687,0.056369863013698625,0.01250081804073755
5,0.3703816046966732,0.4463796477495107,0.036614481409001955,0.005953867147778662
6,0.3575048923679061,0.4410078277886498,0.022857142857142857,0.002388290780932807
