ebn0_db,ber_with_interference,ber_mitigated,ber_no_interference,ber_theoretical
0,0.2676614481409002,0.4174755381604697,0.15905088062622308,0.07864960352514258
1,0.26877690802348336,0.44345401174168303,0.13045988258317023,0.05628195197654147
2,0.2646771037181996,0.45454990215264196,0.10433463796477498,0.03750612835892598
3,0.2578864970645793,0.4577299412915852,0.07773972602739726,0.02287840756108532
4,0.24420743639921721,0.46535225048923684,0.05655577299412916,0.01250081804073755
5,0.24153620352250485,0.4735909980430529,0.03726027397260273,0.005953867147778662
6,0.22413894324853229,0.46783757338551857,0.023737769080234828,0.002388290780932807
