ebn0_db,ber_no_mitigation,ber_mse_only,ber_decision_aware,ber_no_interference
0,0.28129158512720154,0.42095890410958914,0.2793248532289628,0.15750489236790602
1,0.2822994129158512,0.44256360078277895,0.27070450097847354,0.13090998043052834
2,0.25446183953033263,0.456389432485323,0.242426614481409,0.10392367906066535
3,0.25585127201565555,0.46773972602739733,0.24255381604696677,0.07892367906066536
4,0.2443542074363992,0.4719471624266145,0.22530332681017615,0.05664383561643836
5,0.25339530332681015,0.4733953033268101,0.21715264187866928,0.0375440313111546
6,0.2577299412915851,0.4731115459882583,0.2174559686888454,0.023444227005870837
