ebn0_db,ber_with_interference,ber_mitigated,ber_no_interference,ber_theoretical
0,0.3392270058708416,0.44872798434442274,0.15955968688845398,0.07864960352514258
1,0.3174168297455968,0.4672504892367907,0.1316340508806262,0.05628195197654147
2,0.31993150684931504,0.4812720156555773,0.1044031311154599,0.03750612835892598
3,0.3352054794520548,0.49345401174168296,0.07937377690802348,0.02287840756108532
4,0.3226125244618395,0.4963502935420744,0.05611545988258317,0.01250081804073755
5,0.3175342465753424,0.5071037181996085,0.03717221135029354,0.005953867147778662
6,0.3042759295499021,0.5012915851272015,0.023170254403131113,0.002388290780932807
