compression,bottleneck_dim,final_val_loss,tone_auc,chirp_auc,fawgn_auc
32,32,0.18619734048843384,0.58843537414966,0.5367920628358825,0.5729572957295729
16,64,0.1636979728937149,0.5897358032189493,0.5602452014872876,0.5827323717948718
8,128,0.05774519219994545,0.6736842105263158,0.47759103641456585,0.5773433583959898
4,256,0.022152652963995934,0.8657852564102564,0.7693697310317141,0.8755922976106463
