,paper_ae_auc,our_ae_auc_final,difference
tone,0.7544,0.8007,0.04630000000000001
chirp,0.7816,0.7588182092252034,-0.022781790774796584
fawgn,0.7615,0.8785159794334106,0.11701597943341069
