ebn0_db,ber_with_interference,ber_mitigated,ber_no_interference,ber_theoretical
0,0.3340157480314961,0.4346456692913387,0.15765091863517058,0.07864960352514258
1,0.32416010498687664,0.4509317585301837,0.13056430446194225,0.05628195197654147
2,0.3283464566929134,0.4568372703412074,0.10292650918635171,0.03750612835892598
3,0.31799212598425197,0.4648425196850393,0.08061679790026247,0.02287840756108532
4,0.3131102362204725,0.46250656167979004,0.05639107611548556,0.01250081804073755
5,0.3178477690288714,0.46076115485564306,0.03876640419947506,0.005953867147778662
6,0.3070997375328084,0.4589370078740158,0.023556430446194224,0.002388290780932807
