,paper_raw_mahalanobis_auc,our_raw_auc,our_compensated_auc,compensation_gain
tone,0.593,0.5436571657968687,0.882725354235755,0.3390681884388863
chirp,0.5999,0.4870533922119631,0.8641432225063939,0.3770898302944308
fawgn,0.5973,0.5433,0.9863945578231292,0.44309455782312923
