snr_db,sir_db,raw_auc,compensated_auc,snr_corrected_auc
-15.0,-10.0,0.8635086310718587,0.7246085909273384,0.9975913287836211
-15.0,0.0,0.6174055829228243,0.5521346469622332,0.6313628899835796
-15.0,10.0,0.4564,0.5328,0.482
-15.0,20.0,0.4232,0.36040000000000005,0.40159999999999996
-15.0,30.0,0.5291047771979125,0.5889201124046568,0.5355279004415897
-3.75,-10.0,0.9935353535353535,0.9935353535353536,1.0
-3.75,0.0,0.888080808080808,0.8501010101010101,0.9846464646464648
-3.75,10.0,0.5499796001631987,0.3765809873521012,0.514891880864953
-3.75,20.0,0.497792051384986,0.47731834604576473,0.49739060618225606
-3.75,30.0,0.4249699879951981,0.5494197679071628,0.5478191276510604
7.5,-10.0,0.9987922705314011,1.0,1.0
7.5,0.0,0.9573268921095008,1.0,1.0
7.5,10.0,0.6855877616747181,0.9734299516908212,0.7995169082125604
7.5,20.0,0.4387019230769231,0.579326923076923,0.483173076923077
7.5,30.0,0.4776785714285714,0.48660714285714285,0.382711038961039
18.75,-10.0,1.0,1.0,1.0
18.75,0.0,0.9434343434343434,1.0,0.9991919191919192
18.75,10.0,0.5446464646464646,1.0,0.9559595959595959
18.75,20.0,0.5212339743589743,0.9639423076923077,0.8737980769230768
18.75,30.0,0.5078281814532316,0.6663990365315134,0.5925331192292252
30.0,-10.0,1.0,1.0,1.0
30.0,0.0,0.9724025974025973,1.0,1.0
30.0,10.0,0.5600961538461539,1.0,1.0
30.0,20.0,0.6031417941298057,0.9983464241422075,1.0
30.0,30.0,0.4737274220032841,0.8760262725779966,0.9277504105090312
